"SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"TRIP4","9325","ENSG00000103671","thyroid hormone receptor interactor 4"
"ASAH2B","653308","ENSG00000204147","N-acylsphingosine amidohydrolase 2B"
"LRRC6",NA,NA,NA
"ATAD1","84896","ENSG00000138138","ATPase family AAA domain containing 1"
"MRPS11","64963","ENSG00000181991","mitochondrial ribosomal protein S11"
"PDSS1","23590","ENSG00000148459","decaprenyl diphosphate synthase subunit 1"
"ZNF530","348327","ENSG00000183647","zinc finger protein 530"
"PRKAR2A","5576","ENSG00000114302","protein kinase cAMP-dependent type II regulatory subunit alpha"
"ZNF570","148268","ENSG00000171827","zinc finger protein 570"
"MRPS5","64969","ENSG00000144029","mitochondrial ribosomal protein S5"
"NDUFA10","4705","ENSG00000130414","NADH:ubiquinone oxidoreductase subunit A10"
"GPATCH2L","55668","ENSG00000089916","G-patch domain containing 2 like"
"ACTN4","81","ENSG00000130402","actinin alpha 4"
"NUTF2","10204","ENSG00000102898","nuclear transport factor 2"
"MFSD9","84804","ENSG00000135953","major facilitator superfamily domain containing 9"
"CNOT7","29883","ENSG00000198791","CCR4-NOT transcription complex subunit 7"
"PDPR","55066","ENSG00000090857","pyruvate dehydrogenase phosphatase regulatory subunit"
"PUS10","150962","ENSG00000162927","pseudouridine synthase 10"
"KIR3DL1","3811","ENSG00000167633","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
"PDE12","201626","ENSG00000174840","phosphodiesterase 12"
"JAK2","3717","ENSG00000096968","Janus kinase 2"
"FAM120AOS","158293","ENSG00000188938","family with sequence similarity 120 member A opposite strand"
"RPS6KA5","9252","ENSG00000100784","ribosomal protein S6 kinase A5"
"BSG","682","ENSG00000172270","basigin (Ok blood group)"
"TMEM167B","56900","ENSG00000215717","transmembrane protein 167B"
"MSI2","124540","ENSG00000153944","musashi RNA binding protein 2"
"RAD54L2","23132","ENSG00000164080","RAD54 like 2"
"CPSF2","53981","ENSG00000165934","cleavage and polyadenylation specific factor 2"
"METAP1D","254042","ENSG00000172878","methionyl aminopeptidase type 1D, mitochondrial"
"DHRS7","51635","ENSG00000100612","dehydrogenase/reductase 7"
"ZNF432","9668","ENSG00000256087","zinc finger protein 432"
"ZNF396","252884","ENSG00000186496","zinc finger protein 396"
"RALGPS1","9649","ENSG00000136828","Ral GEF with PH domain and SH3 binding motif 1"
"KIAA1328","57536","ENSG00000150477","KIAA1328"
"C2orf76","130355","ENSG00000186132","chromosome 2 open reading frame 76"
"RWDD2A","112611","ENSG00000013392","RWD domain containing 2A"
"DDX31","64794","ENSG00000125485","DEAD-box helicase 31"
"CEBPZOS","100505876","ENSG00000218739","CEBPZ opposite strand"
"PNISR","25957","ENSG00000132424","PNN interacting serine and arginine rich protein"
"HIKESHI","51501","ENSG00000149196","heat shock protein nuclear import factor hikeshi"
"HNRNPH3","3189","ENSG00000096746","heterogeneous nuclear ribonucleoprotein H3"
"SH3BP5L","80851","ENSG00000175137","SH3 binding domain protein 5 like"
"ULK4","54986","ENSG00000168038","unc-51 like kinase 4"
"KCNS1","3787","ENSG00000124134","potassium voltage-gated channel modifier subfamily S member 1"
"LOC100996842",NA,NA,NA
"NIPAL3","57185","ENSG00000001461","NIPA like domain containing 3"
"ABLIM1","3983","ENSG00000099204","actin binding LIM protein 1"
"ZNF567","163081","ENSG00000189042","zinc finger protein 567"
"RCSD1","92241","ENSG00000198771","RCSD domain containing 1"
"TMEM183A","92703","ENSG00000163444","transmembrane protein 183A"
"FKBP1B","2281","ENSG00000119782","FKBP prolyl isomerase 1B"
"SFXN1","94081","ENSG00000164466","sideroflexin 1"
"PMVK","10654","ENSG00000163344","phosphomevalonate kinase"
"IQCG","84223","ENSG00000114473","IQ motif containing G"
"PHTF1","10745","ENSG00000116793","putative homeodomain transcription factor 1"
"PFKP","5214","ENSG00000067057","phosphofructokinase, platelet"
"PHYH","5264","ENSG00000107537","phytanoyl-CoA 2-hydroxylase"
"RBL1","5933","ENSG00000080839","RB transcriptional corepressor like 1"
"CDKL5","6792","ENSG00000008086","cyclin dependent kinase like 5"
"ZNF197","10168","ENSG00000186448","zinc finger protein 197"
"TGM2","7052","ENSG00000198959","transglutaminase 2"
"AHCTF1","25909","ENSG00000153207","AT-hook containing transcription factor 1"
"ST3GAL6","10402","ENSG00000064225","ST3 beta-galactoside alpha-2,3-sialyltransferase 6"
"CAMK4","814","ENSG00000152495","calcium/calmodulin dependent protein kinase IV"
"PSMF1","9491","ENSG00000125818","proteasome inhibitor subunit 1"
"PARP6","56965","ENSG00000137817","poly(ADP-ribose) polymerase family member 6"
"CCNF","899","ENSG00000162063","cyclin F"
"FBXW4","6468","ENSG00000107829","F-box and WD repeat domain containing 4"
"ZC3H12A","80149","ENSG00000163874","zinc finger CCCH-type containing 12A"
"TRADD","8717","ENSG00000102871","TNFRSF1A associated via death domain"
"EFR3A","23167","ENSG00000132294","EFR3 homolog A"
"SVIL","6840","ENSG00000197321","supervillin"
"RBL2","5934","ENSG00000103479","RB transcriptional corepressor like 2"
"SMG5","23381","ENSG00000198952","SMG5 nonsense mediated mRNA decay factor"
"UNC45A","55898","ENSG00000140553","unc-45 myosin chaperone A"
"GNL2","29889","ENSG00000134697","G protein nucleolar 2"
"ACP6","51205","ENSG00000162836","acid phosphatase 6, lysophosphatidic"
"LEO1","123169","ENSG00000166477","LEO1 homolog, Paf1/RNA polymerase II complex component"
"GABPB2","126626","ENSG00000143458","GA binding protein transcription factor subunit beta 2"
"FNIP2","57600","ENSG00000052795","folliculin interacting protein 2"
"SNAP47","116841","ENSG00000143740","synaptosome associated protein 47"
"RBCK1","10616","ENSG00000125826","RANBP2-type and C3HC4-type zinc finger containing 1"
"SEMA4B","10509","ENSG00000185033","semaphorin 4B"
"PIAS2","9063","ENSG00000078043","protein inhibitor of activated STAT 2"
"GDE1","51573","ENSG00000006007","glycerophosphodiester phosphodiesterase 1"
"CDK7","1022","ENSG00000134058","cyclin dependent kinase 7"
"CD300H","100130520","ENSG00000284690","CD300H molecule (gene/pseudogene)"
"LOC100130520",NA,NA,NA
"SPSB3","90864","ENSG00000162032","splA/ryanodine receptor domain and SOCS box containing 3"
"RPUSD1","113000","ENSG00000007376","RNA pseudouridine synthase domain containing 1"
"GLCE","26035","ENSG00000138604","glucuronic acid epimerase"
"KLF8","11279","ENSG00000102349","KLF transcription factor 8"
"UAP1","6675","ENSG00000117143","UDP-N-acetylglucosamine pyrophosphorylase 1"
"ANKS3","124401","ENSG00000168096","ankyrin repeat and sterile alpha motif domain containing 3"
"ZNF41","7592","ENSG00000147124","zinc finger protein 41"
"DPEP2","64174","ENSG00000167261","dipeptidase 2"
"ZNF32","7580","ENSG00000169740","zinc finger protein 32"
"WDR59","79726","ENSG00000103091","WD repeat domain 59"
"LRRN1","57633","ENSG00000175928","leucine rich repeat neuronal 1"
"PANK2","80025","ENSG00000125779","pantothenate kinase 2"
"P2RY10","27334","ENSG00000078589","P2Y receptor family member 10"
"OGFRL1","79627","ENSG00000119900","opioid growth factor receptor like 1"
"CARD11","84433","ENSG00000198286","caspase recruitment domain family member 11"
"STAM","8027","ENSG00000136738","signal transducing adaptor molecule"
"RPN2","6185","ENSG00000118705","ribophorin II"
"KLHL21","9903","ENSG00000162413","kelch like family member 21"
"FAM20B","9917","ENSG00000116199","FAM20B glycosaminoglycan xylosylkinase"
"SLC25A16","8034","ENSG00000122912","solute carrier family 25 member 16"
"ZNF354A","6940","ENSG00000169131","zinc finger protein 354A"
"OGFOD1","55239","ENSG00000087263","2-oxoglutarate and iron dependent oxygenase domain containing 1"
"ADAL",NA,NA,NA
"ADAM22","53616","ENSG00000008277","ADAM metallopeptidase domain 22"
"LIN7A","8825","ENSG00000111052","lin-7 homolog A, crumbs cell polarity complex component"
"ADAT1","23536","ENSG00000065457","adenosine deaminase tRNA specific 1"
"INTS3","65123","ENSG00000143624","integrator complex subunit 3"
"KMT5A","387893","ENSG00000183955","lysine methyltransferase 5A"
"ZC3H14","79882","ENSG00000100722","zinc finger CCCH-type containing 14"
"HEBP2","23593","ENSG00000051620","heme binding protein 2"
"PISD","23761","ENSG00000241878","phosphatidylserine decarboxylase"
"C3AR1","719","ENSG00000171860","complement C3a receptor 1"
"SP4","6671","ENSG00000105866","Sp4 transcription factor"
"STX7","8417","ENSG00000079950","syntaxin 7"
"AIMP2","7965","ENSG00000106305","aminoacyl tRNA synthetase complex interacting multifunctional protein 2"
"CD2","914","ENSG00000116824","CD2 molecule"
"PIK3R3","8503","ENSG00000117461","phosphoinositide-3-kinase regulatory subunit 3"
"DNAJC13","23317","ENSG00000138246","DnaJ heat shock protein family (Hsp40) member C13"
"IFNGR2","3460","ENSG00000159128","interferon gamma receptor 2"
"DYNC1LI1","51143","ENSG00000144635","dynein cytoplasmic 1 light intermediate chain 1"
"NEDD4","4734","ENSG00000069869","NEDD4 E3 ubiquitin protein ligase"
"LRP10","26020","ENSG00000197324","LDL receptor related protein 10"
"NEK9","91754","ENSG00000119638","NIMA related kinase 9"
"VMP1","81671","ENSG00000062716","vacuole membrane protein 1"
"RGL4","266747","ENSG00000159496","ral guanine nucleotide dissociation stimulator like 4"
"TP53INP2","58476","ENSG00000078804","tumor protein p53 inducible nuclear protein 2"
"NUP205","23165","ENSG00000155561","nucleoporin 205"
"PPP1R16A","84988","ENSG00000160972","protein phosphatase 1 regulatory subunit 16A"
"NTPCR","84284","ENSG00000135778","nucleoside-triphosphatase, cancer-related"
"TMEM243","79161","ENSG00000135185","transmembrane protein 243"
"EMC2","9694","ENSG00000104412","ER membrane protein complex subunit 2"
"ZNF420","147923","ENSG00000197050","zinc finger protein 420"
"RHBDD3","25807","ENSG00000100263","rhomboid domain containing 3"
"SCAMP4","113178","ENSG00000227500","secretory carrier membrane protein 4"
"PTDSS2","81490","ENSG00000174915","phosphatidylserine synthase 2"
"ZBED3","84327","ENSG00000132846","zinc finger BED-type containing 3"
"INIP","58493","ENSG00000148153","INTS3 and NABP interacting protein"
"CSNK1G1","53944","ENSG00000169118","casein kinase 1 gamma 1"
"SNAPC5","10302","ENSG00000174446","small nuclear RNA activating complex polypeptide 5"
"PLEKHA7","144100","ENSG00000166689","pleckstrin homology domain containing A7"
"SPDL1","54908","ENSG00000040275","spindle apparatus coiled-coil protein 1"
"ZNF25","219749","ENSG00000175395","zinc finger protein 25"
"ARRDC3","57561","ENSG00000113369","arrestin domain containing 3"
"CAND1","55832","ENSG00000111530","cullin associated and neddylation dissociated 1"
"PAXX","286257","ENSG00000148362","PAXX non-homologous end joining factor"
"OARD1","221443","ENSG00000124596","O-acyl-ADP-ribose deacylase 1"
"NTN4","59277","ENSG00000074527","netrin 4"
"HEATR3","55027","ENSG00000155393","HEAT repeat containing 3"
"ZNF496","84838","ENSG00000162714","zinc finger protein 496"
"TRIR","79002","ENSG00000123144","telomerase RNA component interacting RNase"
"NECAB2","54550","ENSG00000103154","N-terminal EF-hand calcium binding protein 2"
"FAM136A","84908","ENSG00000035141","family with sequence similarity 136 member A"
"ZNF875","284459","ENSG00000181666","zinc finger protein 875"
"HACD2","201562","ENSG00000206527","3-hydroxyacyl-CoA dehydratase 2"
"ZNF467","168544","ENSG00000181444","zinc finger protein 467"
"TRUB2","26995","ENSG00000167112","TruB pseudouridine synthase family member 2"
"AQP1","358","ENSG00000240583","aquaporin 1 (Colton blood group)"
"SERPINF1","5176","ENSG00000132386","serpin family F member 1"
"TMEM87B","84910","ENSG00000153214","transmembrane protein 87B"
"CALM3","808","ENSG00000160014","calmodulin 3"
"PDP2","57546","ENSG00000172840","pyruvate dehydrogenase phosphatase catalytic subunit 2"
"TGFB3","7043","ENSG00000119699","transforming growth factor beta 3"
"LIPT2","387787","ENSG00000175536","lipoyl(octanoyl) transferase 2"
"LTV1","84946","ENSG00000135521","LTV1 ribosome biogenesis factor"
"DHX57","90957","ENSG00000163214","DExH-box helicase 57"
"LONRF1","91694","ENSG00000154359","LON peptidase N-terminal domain and ring finger 1"
"MIGA2","84895","ENSG00000148343","mitoguardin 2"
"NUDCD2","134492","ENSG00000170584","NudC domain containing 2"
"GPR141","353345","ENSG00000187037","G protein-coupled receptor 141"
"TRANK1","9881","ENSG00000168016","tetratricopeptide repeat and ankyrin repeat containing 1"
"MMGT1","93380","ENSG00000169446","membrane magnesium transporter 1"
"PIP4K2A","5305","ENSG00000150867","phosphatidylinositol-5-phosphate 4-kinase type 2 alpha"
"KCNE1B",NA,NA,NA
"CLEC10A","10462","ENSG00000132514","C-type lectin domain containing 10A"
"MPDU1","9526","ENSG00000129255","mannose-P-dolichol utilization defect 1"
"RALGAPA1","253959","ENSG00000174373","Ral GTPase activating protein catalytic subunit alpha 1"
"RUFY2","55680","ENSG00000204130","RUN and FYVE domain containing 2"
"NDST2","8509","ENSG00000166507","N-deacetylase and N-sulfotransferase 2"
"CYB5D1","124637","ENSG00000182224","cytochrome b5 domain containing 1"
"SHLD2","54537","ENSG00000122376","shieldin complex subunit 2"
"R3HDM2","22864","ENSG00000179912","R3H domain containing 2"
"VAMP2","6844","ENSG00000220205","vesicle associated membrane protein 2"
"DRG2","1819","ENSG00000108591","developmentally regulated GTP binding protein 2"
"RIC8B","55188","ENSG00000111785","RIC8 guanine nucleotide exchange factor B"
"GRAP","10750","ENSG00000154016","GRB2 related adaptor protein"
"AKAP10","11216","ENSG00000108599","A-kinase anchoring protein 10"
"ING5","84289","ENSG00000168395","inhibitor of growth family member 5"
"LGALS9","3965","ENSG00000168961","galectin 9"
"UNC119","9094","ENSG00000109103","unc-119 lipid binding chaperone"
"RAB11FIP2","22841","ENSG00000107560","RAB11 family interacting protein 2"
"TSPAN31","6302","ENSG00000135452","tetraspanin 31"
"FLOT2","2319","ENSG00000132589","flotillin 2"
"ACADSB","36","ENSG00000196177","acyl-CoA dehydrogenase short/branched chain"
"PCNX4","64430","ENSG00000126773","pecanex 4"
"MTERF4","130916","ENSG00000122085","mitochondrial transcription termination factor 4"
"SLFN5","162394","ENSG00000166750","schlafen family member 5"
"TBC1D30","23329","ENSG00000111490","TBC1 domain family member 30"
"NUP107","57122","ENSG00000111581","nucleoporin 107"
"MIEN1","84299","ENSG00000141741","migration and invasion enhancer 1"
"OFD1","8481","ENSG00000046651","OFD1 centriole and centriolar satellite protein"
"PSMC1","5700","ENSG00000100764","proteasome 26S subunit, ATPase 1"
"CNP","1267","ENSG00000173786","2',3'-cyclic nucleotide 3' phosphodiesterase"
"PSME3","10197","ENSG00000131467","proteasome activator subunit 3"
"IFI35","3430","ENSG00000068079","interferon induced protein 35"
"METAP2","10988","ENSG00000111142","methionyl aminopeptidase 2"
"HNRNPA3","220988","ENSG00000170144","heterogeneous nuclear ribonucleoprotein A3"
"NPEPPS","9520","ENSG00000141279","aminopeptidase puromycin sensitive"
"NFE2L1","4779","ENSG00000082641","NFE2 like bZIP transcription factor 1"
"GCA","25801","ENSG00000115271","grancalcin"
"ATP5MC2","517","ENSG00000135390","ATP synthase membrane subunit c locus 2"
"MS4A6A","64231","ENSG00000110077","membrane spanning 4-domains A6A"
"MZT2B","80097","ENSG00000152082","mitotic spindle organizing protein 2B"
"MTA2","9219","ENSG00000149480","metastasis associated 1 family member 2"
"TIMELESS","8914","ENSG00000111602","timeless circadian regulator"
"NAB2","4665","ENSG00000166886","NGFI-A binding protein 2"
"DPF2","5977","ENSG00000133884","double PHD fingers 2"
"DVL1","1855","ENSG00000107404","dishevelled segment polarity protein 1"
"SLC35F5","80255","ENSG00000115084","solute carrier family 35 member F5"
"SNX11","29916","ENSG00000002919","sorting nexin 11"
"HOXB3","3213","ENSG00000120093","homeobox B3"
"LUC7L3","51747","ENSG00000108848","LUC7 like 3 pre-mRNA splicing factor"
"PTMS","5763","ENSG00000159335","parathymosin"
"CBWD2",NA,NA,NA
"MRE11","4361","ENSG00000020922","MRE11 homolog, double strand break repair nuclease"
"UBIAD1","29914","ENSG00000120942","UbiA prenyltransferase domain containing 1"
"UNC50","25972","ENSG00000115446","unc-50 inner nuclear membrane RNA binding protein"
"FAM76B","143684","ENSG00000077458","family with sequence similarity 76 member B"
"MTHFR","4524","ENSG00000177000","methylenetetrahydrofolate reductase"
"POLA1","5422","ENSG00000101868","DNA polymerase alpha 1, catalytic subunit"
"ZNF561","93134","ENSG00000171469","zinc finger protein 561"
"C11orf1",NA,NA,NA
"HLF","3131","ENSG00000108924","HLF transcription factor, PAR bZIP family member"
"BRD4","23476","ENSG00000141867","bromodomain containing 4"
"VEZF1","7716","ENSG00000136451","vascular endothelial zinc finger 1"
"WIZ","58525","ENSG00000011451","WIZ zinc finger"
"SFXN5","94097","ENSG00000144040","sideroflexin 5"
"INTS2","57508","ENSG00000108506","integrator complex subunit 2"
"POU6F1","5463","ENSG00000184271","POU class 6 homeobox 1"
"NAGK","55577","ENSG00000124357","N-acetylglucosamine kinase"
"MAP3K3","4215","ENSG00000198909","mitogen-activated protein kinase kinase kinase 3"
"PTPN11","5781","ENSG00000179295","protein tyrosine phosphatase non-receptor type 11"
"MTA3","57504","ENSG00000057935","metastasis associated 1 family member 3"
"FAM118B","79607","ENSG00000197798","family with sequence similarity 118 member B"
"HELZ","9931","ENSG00000198265","helicase with zinc finger"
"AMDHD2","51005","ENSG00000162066","amidohydrolase domain containing 2"
"MAP2K6","5608","ENSG00000108984","mitogen-activated protein kinase kinase 6"
"TTYH2","94015","ENSG00000141540","tweety family member 2"
"CLUAP1","23059","ENSG00000103351","clusterin associated protein 1"
"CXorf38","159013","ENSG00000185753","chromosome X open reading frame 38"
"BLK","640","ENSG00000136573","BLK proto-oncogene, Src family tyrosine kinase"
"SLC8B1","80024","ENSG00000089060","solute carrier family 8 member B1"
"UBALD1","124402","ENSG00000153443","UBA like domain containing 1"
"COPE","11316","ENSG00000105669","COPI coat complex subunit epsilon"
"MTUS1","57509","ENSG00000129422","microtubule associated scaffold protein 1"
"RNF10","9921","ENSG00000022840","ring finger protein 10"
"TRIM62","55223","ENSG00000116525","tripartite motif containing 62"
"PREB","10113","ENSG00000138073","prolactin regulatory element binding"
"PHC2","1912","ENSG00000134686","polyhomeotic homolog 2"
"BNIP3L","665","ENSG00000104765","BCL2 interacting protein 3 like"
"WBP2","23558","ENSG00000132471","WW domain binding protein 2"
"BFAR","51283","ENSG00000103429","bifunctional apoptosis regulator"
"RNF157","114804","ENSG00000141576","ring finger protein 157"
"ALG1","56052","ENSG00000033011","ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase"
"PPIH","10465","ENSG00000171960","peptidylprolyl isomerase H"
"TNRC6A","27327","ENSG00000090905","trinucleotide repeat containing adaptor 6A"
"MMACHC","25974","ENSG00000132763","metabolism of cobalamin associated C"
"HEXD","284004","ENSG00000169660","hexosaminidase D"
"NLRC5","84166","ENSG00000140853","NLR family CARD domain containing 5"
"DOK4","55715","ENSG00000125170","docking protein 4"
"DECR1","1666","ENSG00000104325","2,4-dienoyl-CoA reductase 1"
"OSBPL9","114883","ENSG00000117859","oxysterol binding protein like 9"
"CC2D1B","200014","ENSG00000154222","coiled-coil and C2 domain containing 1B"
"TPP2","7174","ENSG00000134900","tripeptidyl peptidase 2"
"MRPL37","51253","ENSG00000116221","mitochondrial ribosomal protein L37"
"TBC1D31","93594","ENSG00000156787","TBC1 domain family member 31"
"WASHC5","9897","ENSG00000164961","WASH complex subunit 5"
"AK4","205","ENSG00000162433","adenylate kinase 4"
"ZNF17","7565","ENSG00000186272","zinc finger protein 17"
"ZNF460","10794","ENSG00000197714","zinc finger protein 460"
"ZBTB49","166793","ENSG00000168826","zinc finger and BTB domain containing 49"
"HDAC11","79885","ENSG00000163517","histone deacetylase 11"
"DENND4C","55667","ENSG00000137145","DENN domain containing 4C"
"MCOLN2","255231","ENSG00000153898","mucolipin TRP cation channel 2"
"NSUN7","79730","ENSG00000179299","NOP2/Sun RNA methyltransferase family member 7"
"GBA2","57704","ENSG00000070610","glucosylceramidase beta 2"
"SARS",NA,NA,NA
"OXNAD1","92106","ENSG00000154814","oxidoreductase NAD binding domain containing 1"
"POLR3GL","84265","ENSG00000121851","RNA polymerase III subunit GL"
"PSMD4","5710","ENSG00000159352","proteasome 26S subunit ubiquitin receptor, non-ATPase 4"
"SNX27","81609","ENSG00000143376","sorting nexin 27"
"TRMO","51531","ENSG00000136932","tRNA methyltransferase O"
"COPS4","51138","ENSG00000138663","COP9 signalosome subunit 4"
"SLC44A1","23446","ENSG00000070214","solute carrier family 44 member 1"
"SLAMF8","56833","ENSG00000158714","SLAM family member 8"
"SLAMF1","6504","ENSG00000117090","signaling lymphocytic activation molecule family member 1"
"TMEM268","203197","ENSG00000157693","transmembrane protein 268"
"CNTRL","11064","ENSG00000119397","centriolin"
"CNKSR2","22866","ENSG00000149970","connector enhancer of kinase suppressor of Ras 2"
"DHX30","22907","ENSG00000132153","DExH-box helicase 30"
"FAM135A","57579","ENSG00000082269","family with sequence similarity 135 member A"
"ITSN1","6453","ENSG00000205726","intersectin 1"
"VPS26C","10311","ENSG00000157538","VPS26 endosomal protein sorting factor C"
"ERG","2078","ENSG00000157554","ETS transcription factor ERG"
"NNT","23530","ENSG00000112992","nicotinamide nucleotide transhydrogenase"
"PDXK","8566","ENSG00000160209","pyridoxal kinase"
"SPICE1","152185","ENSG00000163611","spindle and centriole associated protein 1"
"RASL11A","387496","ENSG00000122035","RAS like family 11 member A"
"ZNF253","56242","ENSG00000256771","zinc finger protein 253"
"L3HYPDH","112849","ENSG00000126790","trans-L-3-hydroxyproline dehydratase"
"CMC1","152100","ENSG00000187118","C-X9-C motif containing 1"
"TMEM45B","120224","ENSG00000151715","transmembrane protein 45B"
"CTSO","1519","ENSG00000256043","cathepsin O"
"CTSW","1521","ENSG00000172543","cathepsin W"
"CTSZ","1522","ENSG00000101160","cathepsin Z"
"DAD1","1603","ENSG00000129562","defender against cell death 1"
"SPATA5",NA,NA,NA
"ABLIM3","22885","ENSG00000173210","actin binding LIM protein family member 3"
"GUF1","60558","ENSG00000151806","GTP binding elongation factor GUF1"
"DCAF16","54876","ENSG00000163257","DDB1 and CUL4 associated factor 16"
"PRIMPOL","201973","ENSG00000164306","primase and DNA directed polymerase"
"WDR53","348793","ENSG00000185798","WD repeat domain 53"
"POLK","51426","ENSG00000122008","DNA polymerase kappa"
"ZNF383","163087","ENSG00000188283","zinc finger protein 383"
"TRIM8","81603","ENSG00000171206","tripartite motif containing 8"
"ABRAXAS1","84142","ENSG00000163322","abraxas 1, BRCA1 A complex subunit"
"DHX29","54505","ENSG00000067248","DExH-box helicase 29"
"ZNF394","84124","ENSG00000160908","zinc finger protein 394"
"YTHDC2","64848","ENSG00000047188","YTH N6-methyladenosine RNA binding protein C2"
"KLHL26","55295","ENSG00000167487","kelch like family member 26"
"WDR70","55100","ENSG00000082068","WD repeat domain 70"
"DGKA","1606","ENSG00000065357","diacylglycerol kinase alpha"
"IGFLR1","79713","ENSG00000126246","IGF like family receptor 1"
"GZMB","3002","ENSG00000100453","granzyme B"
"USP45","85015","ENSG00000123552","ubiquitin specific peptidase 45"
"TRIM52","84851","ENSG00000183718","tripartite motif containing 52"
"TP53I13","90313","ENSG00000167543","tumor protein p53 inducible protein 13"
"CCDC97","90324","ENSG00000142039","coiled-coil domain containing 97"
"MIER2","54531","ENSG00000105556","MIER family member 2"
"PUSL1","126789","ENSG00000169972","pseudouridine synthase like 1"
"SNORC","389084","ENSG00000182600","secondary ossification center associated regulator of chondrocyte maturation"
"TMED8","283578","ENSG00000100580","transmembrane p24 trafficking protein family member 8"
"PPAN","56342","ENSG00000130810","peter pan homolog"
"AKR1B1","231","ENSG00000085662","aldo-keto reductase family 1 member B"
"ZNF287","57336","ENSG00000141040","zinc finger protein 287"
"SRGAP1","57522","ENSG00000196935","SLIT-ROBO Rho GTPase activating protein 1"
"RELCH","57614","ENSG00000134444","RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing"
"CTR9","9646","ENSG00000198730","CTR9 homolog, Paf1/RNA polymerase II complex component"
"STX18","53407","ENSG00000168818","syntaxin 18"
"DPH7","92715","ENSG00000148399","diphthamide biosynthesis 7"
"PCF11","51585","ENSG00000165494","PCF11 cleavage and polyadenylation factor subunit"
"RSPH3","83861","ENSG00000130363","radial spoke head 3"
"AHNAK","79026","ENSG00000124942","AHNAK nucleoprotein"
"CD5","921","ENSG00000110448","CD5 molecule"
"CEP83","51134","ENSG00000173588","centrosomal protein 83"
"TAOK3","51347","ENSG00000135090","TAO kinase 3"
"SASH1","23328","ENSG00000111961","SAM and SH3 domain containing 1"
"INSIG1","3638","ENSG00000186480","insulin induced gene 1"
"RINT1","60561","ENSG00000135249","RAD50 interactor 1"
"ADAP2","55803","ENSG00000184060","ArfGAP with dual PH domains 2"
"RBM34","23029","ENSG00000188739","RNA binding motif protein 34"
"CBX7","23492","ENSG00000100307","chromobox 7"
"PIGW","284098","ENSG00000277161","phosphatidylinositol glycan anchor biosynthesis class W"
"MYO18A","399687","ENSG00000196535","myosin XVIIIA"
"TSR2","90121","ENSG00000158526","TSR2 ribosome maturation factor"
"ARID1B","57492","ENSG00000049618","AT-rich interaction domain 1B"
"NAIP","4671","ENSG00000249437","NLR family apoptosis inhibitory protein"
"EMC9","51016","ENSG00000100908","ER membrane protein complex subunit 9"
"MFSD2B","388931","ENSG00000205639","MFSD2 lysolipid transporter B, sphingolipid"
"PPP1R35","221908","ENSG00000160813","protein phosphatase 1 regulatory subunit 35"
"EXO5","64789","ENSG00000164002","exonuclease 5"
"TMEM62","80021","ENSG00000137842","transmembrane protein 62"
"CYP19A1","1588","ENSG00000137869","cytochrome P450 family 19 subfamily A member 1"
"C1QA","712","ENSG00000173372","complement C1q A chain"
"C1QC","714","ENSG00000159189","complement C1q C chain"
"LOC643802",NA,NA,NA
"SYNE1","23345","ENSG00000131018","spectrin repeat containing nuclear envelope protein 1"
"FRA10AC1","118924","ENSG00000148690","FRA10A associated CGG repeat 1"
"DYRK1A","1859","ENSG00000157540","dual specificity tyrosine phosphorylation regulated kinase 1A"
"ARID2","196528","ENSG00000189079","AT-rich interaction domain 2"
"ZNF174","7727","ENSG00000103343","zinc finger protein 174"
"ANKRD13D","338692","ENSG00000172932","ankyrin repeat domain 13D"
"RPH3A","22895","ENSG00000089169","rabphilin 3A"
"PHF24","23349","ENSG00000122733","PHD finger protein 24"
"DGKQ","1609","ENSG00000145214","diacylglycerol kinase theta"
"ZNF776","284309","ENSG00000152443","zinc finger protein 776"
"ZNF136","7695","ENSG00000196646","zinc finger protein 136"
"ZNF606","80095","ENSG00000166704","zinc finger protein 606"
"RASAL3","64926","ENSG00000105122","RAS protein activator like 3"
"ERV3-1-ZNF117","109504726","ENSG00000152926","ERV3-1-ZNF117 readthrough"
"MDS2","259283","ENSG00000197880","myelodysplastic syndrome 2 translocation associated"
"DIMT1","27292","ENSG00000086189","DIM1 rRNA methyltransferase and ribosome maturation factor"
"C20orf204","284739","ENSG00000196421","chromosome 20 open reading frame 204"
"F11R","50848","ENSG00000158769","F11 receptor"
"FBXO30","84085","ENSG00000118496","F-box protein 30"
"TRIM16","10626","ENSG00000221926","tripartite motif containing 16"
"NBDY","550643","ENSG00000204272","negative regulator of P-body association"
"CCNI","10983","ENSG00000118816","cyclin I"
"NCOA5","57727","ENSG00000124160","nuclear receptor coactivator 5"
"ZNF525","170958","ENSG00000203326","zinc finger protein 525"
"ZNF788P","388507",NA,"zinc finger family member 788, pseudogene"
"ITSN2","50618","ENSG00000198399","intersectin 2"
"DDX27","55661","ENSG00000124228","DEAD-box helicase 27"
"RIOK3","8780","ENSG00000101782","RIO kinase 3"
"RIOK1","83732","ENSG00000124784","RIO kinase 1"
"AIM2","9447","ENSG00000163568","absent in melanoma 2"
"TBC1D25","4943","ENSG00000068354","TBC1 domain family member 25"
